experiment_id,dataset,task_type,target,model,model_type,generalization_gap,test_balanced_acc,validation_balanced_acc,train_balanced_acc,train_precision,validation_precision,test_precision,train_recall,validation_recall,test_recall,train_f1,validation_f1,test_f1
20260925_003122,baseline,classification,Q006,xgboost,xgboost_classifier,0.39442742482471704,0.6819078977399163,0.6828696037255154,0.6858521719881635,0.6550460795621676,0.6524570844062103,0.65177231272961,0.6858521719881635,0.6828696037255154,0.6819078977399163,0.6562532446028824,0.6533600343953971,0.6527729587578139
20260925_003122,dp_eps_0.05,classification,Q006,xgboost,xgboost_classifier,0.5474884057905194,0.6721928438352237,0.6728956172786082,0.6776677278931289,0.6478644788344532,0.6438094003338743,0.6505093559335531,0.6776677278931289,0.6728956172786082,0.6721928438352237,0.6481102219010622,0.6436532283305157,0.6555200810509912
20260925_003122,dp_eps_0.1,classification,Q006,xgboost,xgboost_classifier,0.5378345974422327,0.6727494015261162,0.6726616516321007,0.6781277475005385,0.648322040267399,0.6436777405023625,0.6437068221725769,0.6781277475005385,0.6726616516321007,0.6727494015261162,0.6487006107185909,0.6436023917311301,0.6435724400560188
20260925_003122,dp_eps_0.5,classification,Q006,xgboost,xgboost_classifier,0.28324958789681665,0.6768138577589311,0.6726485273175798,0.6796463536378993,0.6495193945376934,0.6435762947803314,0.649197661187809,0.6796463536378993,0.6726485273175798,0.6768138577589311,0.6498914295090699,0.6433639597685206,0.651725269494573
20260925_003122,dp_eps_1.0,classification,Q006,xgboost,xgboost_classifier,0.2267240667255921,0.6788544897375133,0.6745630813065433,0.6811217304047692,0.650839277924012,0.6453113744054538,0.6521880966671795,0.6811217304047692,0.6745630813065433,0.6788544897375133,0.651424817068921,0.6454212861511625,0.6558056236079298
20260925_003122,dp_eps_2.0,classification,Q006,xgboost,xgboost_classifier,0.4455722654365446,0.68002886506481,0.6771707091358703,0.6844845877191754,0.6540322079178507,0.6478368681728213,0.6544361018293738,0.6844845877191754,0.6771707091358703,0.68002886506481,0.655318782927387,0.6485836965686531,0.6588355524871141
20260925_003122,dp_eps_3.0,classification,Q006,xgboost,xgboost_classifier,0.5719352608822614,0.68035640035808,0.6795522623903061,0.6860757529669026,0.6554296956505978,0.6498806392922754,0.6532623897451402,0.6860757529669026,0.6795522623903061,0.68035640035808,0.6568920073245247,0.6508381160337215,0.6568281010409842
