experiment_id,source_experiment_id,dataset,task_type,target,model,model_type,attack_type,n_shadow_models,member_fraction,attack_test_size,attack_features,attack_model,attack_model_type,shadow_val_acc,attack_acc,attack_f1,attack_precision,member_acc_tpr,non_member_acc_tnr,advantage
20260912_221412,20260912_215716,baseline,classification,TP_SEXO,xgboost,xgboost_classifier,shadow_model_membership_inference,3,0.5,0.3,"probabilities,confidence,entropy,loss",xgboost,xgboost_classifier,0.5073066666666667,0.50169,0.5013471296352899,0.5016946609499513,0.527912,0.475468,0.0033800000000000496
20260912_221412,20260912_215716,dp_eps_0.1,classification,TP_SEXO,xgboost,xgboost_classifier,shadow_model_membership_inference,3,0.5,0.3,"probabilities,confidence,entropy,loss",xgboost,xgboost_classifier,0.5134266666666667,0.503688,0.5036498764906039,0.5036891334153515,0.512452,0.494924,0.007375999999999938
20260912_221412,20260912_215716,dp_eps_0.5,classification,TP_SEXO,xgboost,xgboost_classifier,shadow_model_membership_inference,3,0.5,0.3,"probabilities,confidence,entropy,loss",xgboost,xgboost_classifier,0.5188866666666667,0.504132,0.5039319822003879,0.5041386749609271,0.524212,0.484052,0.008263999999999938
20260912_221412,20260912_215716,dp_eps_1.0,classification,TP_SEXO,xgboost,xgboost_classifier,shadow_model_membership_inference,3,0.5,0.3,"probabilities,confidence,entropy,loss",xgboost,xgboost_classifier,0.5221933333333333,0.505072,0.5050636150570117,0.5050723437315525,0.500956,0.509188,0.01014399999999993
20260912_221412,20260912_215716,dp_eps_2.0,classification,TP_SEXO,xgboost,xgboost_classifier,shadow_model_membership_inference,3,0.5,0.3,"probabilities,confidence,entropy,loss",xgboost,xgboost_classifier,0.52286,0.504932,0.5048193330006495,0.5049364927426427,0.520016,0.489848,0.009864000000000095
