experiment_id,dataset,task_type,target,model,model_type,generalization_gap,test_acc,validation_acc,train_acc,test_balanced_acc,validation_balanced_acc,train_balanced_acc,train_precision,validation_precision,test_precision,train_f1,validation_f1,test_f1
20260915_193122,baseline,classification,Q006,xgboost,xgboost_classifier,0.21020000000000483,0.684136,0.684572,0.686238,0.6815111783398993,0.6827143635602344,0.6841409170849606,0.6534622384461066,0.6521496341418612,0.6512763493303977,0.6543678920424847,0.6528048330110521,0.6520379488613297
20260915_193122,dp_eps_0.05,classification,Q006,xgboost,xgboost_classifier,0.23160000000000958,0.676244,0.676212,0.67856,0.6724425283720417,0.6729616045755296,0.6755926579395866,0.6461611610227921,0.6439222300510549,0.6435912694847463,0.6463210024714673,0.6438566651737343,0.6436457022492079
20260915_193122,dp_eps_0.1,classification,Q006,xgboost,xgboost_classifier,0.27800000000000047,0.675792,0.676016,0.678572,0.6722402403049399,0.6728726998729238,0.6757327340032044,0.6462544753918871,0.6438204115272691,0.643357628156093,0.6463886904858387,0.6437081410217393,0.6433047646597736
20260915_193122,dp_eps_0.5,classification,Q006,xgboost,xgboost_classifier,0.3362000000000087,0.675696,0.675824,0.679058,0.6725232571363983,0.6733393821351383,0.6766259471265923,0.6469434682742582,0.6440818535840032,0.6435202574871848,0.6470502181374379,0.6438039596355318,0.6433751237310703
20260915_193122,dp_eps_1.0,classification,Q006,xgboost,xgboost_classifier,0.2985999999999933,0.677188,0.677168,0.680174,0.6737257647685124,0.6743654675815327,0.677752479125624,0.647927922158808,0.645049689558913,0.644638223130097,0.6481683721590583,0.6450051077689771,0.6447358256822682
20260915_193122,dp_eps_2.0,classification,Q006,xgboost,xgboost_classifier,0.3237999999999963,0.680612,0.680836,0.68385,0.6766054443102514,0.6773242707973742,0.6808550511224783,0.650789711625622,0.6478089453716113,0.6472940056428449,0.6515926722744414,0.6483564680043603,0.647915120991067
20260915_193122,dp_eps_3.0,classification,Q006,xgboost,xgboost_classifier,0.2993999999999941,0.681532,0.682172,0.684526,0.6782347641726807,0.6795238137206905,0.6820554119409965,0.6517182223316513,0.6495359647740412,0.6485569805851616,0.652495014896842,0.6500661231983089,0.6491439698589698
